GeneID,GeneName,PrimaryClass,MatchedClasses,Confidence,Evidence,Source,GO_BP,Family_SubFamily,ProteinClass
SORBI_3003G324400,AP 37 protein,Cold,Cold,High,GO_BP:response to cold; GO_BP:cold\b,individual,regulation of DNA-templated transcription(GO:0006355);response to cold(GO:0009409);response to water deprivation(GO:0009414);response to wounding(GO:0009611);response to insect(GO:0009625);response to salt stress(GO:0009651);response to ethylene(GO:0009723);response to auxin(GO:0009733);response to cytokinin(GO:0009735);response to abscisic acid(GO:0009737);response to salicylic acid(GO:0009751);response to jasmonic acid(GO:0009753);lateral root formation(GO:0010311);regulation of salicylic acid metabolic process(GO:0010337);regulation of ethylene biosynthetic process(GO:0010364);regulation of hydrogen peroxide biosynthetic process(GO:0010728);negative regulation of DNA-templated transcription(GO:0045892);response to herbivore(GO:0080027);regulation of seed growth(GO:0080113);regulation of jasmonic acid biosynthetic process(GO:0080141);regulation of defense response to insect(GO:2000068),OS01G0797600 PROTEIN (PTHR31677:SF168),DNA-binding transcription factor(PC00218)
SORBI_3003G363400,BZIP domain-containing protein,Cold,Cold,High,GO_BP:response to cold; GO_BP:cold\b,sum_ratio,regulation of DNA-templated transcription(GO:0006355);signal transduction(GO:0007165);response to cold(GO:0009409);response to water deprivation(GO:0009414);response to salt stress(GO:0009651);response to abscisic acid(GO:0009737);abscisic acid-activated signaling pathway(GO:0009738);seed germination(GO:0009845);pollen maturation(GO:0010152);positive regulation of DNA-templated transcription(GO:0045893);seedling development(GO:0090351);cellular response to oxygen-containing compound(GO:1901701),PROTEIN ABSCISIC ACID-INSENSITIVE 5 (PTHR22952:SF175),basic leucine zipper transcription factor(PC00056)
SORBI_3002G128400,WRKY domain-containing protein,"Cold,Phosphorus",,High,"https://www.sorghumbase.org/genes?filters={%22status%22:%22init%22,%22rows%22:20,%22operation%22:%22AND%22,%22negate%22:false,%22leftIdx%22:0,%22rightIdx%22:3,%22children%22:[{%22fq_field%22:%22homology__all_orthologs%22,%22fq_value%22:%22SORBI_3002G128400%22,%22name%22:%22Orthologs%20of%20SORBI_3002G128400%22,%22category%22:%22Gene%20Tree%22,%22leftIdx%22:1,%22rightIdx%22:2,%22negate%22:false,%22marked%22:false}],%22searchOffset%22:0}&genomes=3055001,3694001,3702001,4558001,4558002,4558003,4558004,4558005,4558006,4558007,4558008,4558009,4558010,4558011,4558012,4558013,4558014,4558015,4558016,4558017,4558018,4558019,4558020,4558021,4558022,4558023,4558024,4558025,4558026,4558027,4558028,4558029,4558030,4558031,4558032,4558033,4558034,4558035,4558036,4558037,4558038,4558039,4558040,4558041,4558042,4558043,4558044,4558045,4558046,4558047,4558048,4558049,4558050,4558051,4558052,4558053,4558054,4558055,4558056,4558057,4558058,4558059,4558060,4558061,4558062,4558063,4558064,4558065,4558066,4558067,4558068,4558069,4558070,4558071,4558072,4558073,4558074,4558075,4558076,4558077,4558078,4558079,4558080,4558081,4558082,4558083,4558084,4558085,4558086,4558087,4558088,4558089,4558090,4558091,4558092,4558093,4558094,4558095,4558096,4558097,4558098,4558099,4558100,4558101,4558102,4558103,4558104,4558105,4558106,4558107,4558108,4558109,4558110,4558111,4558112,4558113,4558114,4558115,4558116,4577001,7227001,29760001,39947001,88036001",individual,regulation of DNA-templated transcription(GO:0006355),OS07G0680400 PROTEIN (PTHR31282:SF19),DNA-binding transcription factor(PC00218)
SORBI_3001G050300,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,Medium,Name/Family:\blipid\b; Name/Family:lipid transfer,individual;sum_ratio,,OS03G0804200 PROTEIN (PTHR33044:SF224),
SORBI_3001G103800,Lecithin-cholesterol acyltransferase-like 1,Lipids,Lipids,High,GO_BP:\blipid\b,individual,lipid metabolic process(GO:0006629),BCDNA.GH02384 (PTHR11440:SF97),acyltransferase(PC00042)
SORBI_3001G106400,DUF676 domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b,sum_ratio,lipid metabolic process(GO:0006629),ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR12482:SF41),
SORBI_3001G187200,Transmembrane protein 14C (Fragment),Lipids,Lipids,High,GO_BP:fatty acid,individual,fatty acid transport(GO:0015908),PROTEIN FATTY ACID EXPORT 5-RELATED (PTHR12668:SF5),
SORBI_3001G200800,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b; Name/Family:lipid transfer,sum_ratio,lipid transport(GO:0006869),"LIPID-TRANSFER PROTEIN 2G, PUTATIVE, EXPRESSED-RELATED (PTHR33214:SF50)",
SORBI_3001G200900,Bifunctional inhibitor_plant lipid transfer protein_seed storage helical domain-containing protein,Lipids,Lipids,High,GO_BP:\blipid\b; Name/Family:lipid transfer,sum_ratio,lipid transport(GO:0006869),"LIPID-TRANSFER PROTEIN 2G, PUTATIVE, EXPRESSED-RELATED (PTHR33214:SF50)",
SORBI_3001G213300,Cytochrome P450,Lipids,Lipids,High,GO_BP:\blipid\b,individual,lipid metabolic process(GO:0006629),CYTOCHROME P450 86B1 (PTHR24296:SF3),oxygenase(PC00177)
